Date,Open,High,Low,Close,Volume
8/3/2016,125,125,123.69,123.9,5310641
8/2/2016,125.65,125.9,124.48,124.85,7158693
8/1/2016,125.31,125.71,125.1,125.4,4615103
7/29/2016,124.34,125.32,124.34,125.23,7020910
7/28/2016,124.98,125,124.41,124.46,4320393
7/27/2016,125.1,125.23,124.34,124.77,4812634
7/26/2016,125.02,125.55,124.75,125.15,5589861
7/25/2016,125.07,125.13,124.14,124.89,4880569
7/22/2016,125.12,125.35,124.64,125.03,5839195
7/21/2016,125.21,125.74,124.89,125.15,5563937
7/20/2016,125.84,126.07,125.04,125.14,7334633
7/19/2016,124.78,125.75,123.34,125.25,11325700
7/18/2016,123,123.22,122.44,123.14,6599199
7/15/2016,123.77,124.3,122.71,123,7192765
7/14/2016,122.98,123.74,122.91,123.18,5322718
7/13/2016,122.68,123.4,122.3,123,5230819
7/12/2016,122.65,123.2,122.61,122.92,6415861
7/11/2016,122.71,123.45,122.41,122.93,6711586
7/8/2016,123,123.1,121.96,122.85,6129913
7/7/2016,122.59,122.81,122.01,122.51,6058727
7/6/2016,121.93,122.66,121.54,122.64,9332366
7/5/2016,121.36,123.23,121.34,122.27,9334141
7/1/2016,121.54,121.54,120.79,121.29,7051358
6/30/2016,119.18,121.41,119.16,121.3,11559922
6/29/2016,118.84,119.41,118.1,119.33,8341454
6/28/2016,117.17,118.37,116.55,118.23,10089587
6/27/2016,115,116.64,115,116.55,10896051
6/24/2016,115.07,117.12,115,115.63,13939481
6/23/2016,117.2,117.38,116.68,117.38,6775873
6/22/2016,116.54,117.21,116.31,116.46,5833754
6/21/2016,116.99,117.15,116.18,116.18,5493490
6/20/2016,116.6,117.14,116.43,116.54,5588202
6/17/2016,116.62,116.67,115.01,115.48,10702199
6/16/2016,115.69,116.89,115.22,116.64,6664815
6/15/2016,117.64,117.74,116.34,116.41,6371378
6/14/2016,116.45,117.18,116.3,117.12,6378395
6/13/2016,117.13,117.64,116.79,116.79,7940893
6/10/2016,116.74,117.23,116.36,117.01,6067428
6/9/2016,115.78,117.19,115.61,117,7375474
6/8/2016,115.52,115.95,115.41,115.8,5863782
6/7/2016,116.01,116.23,115.45,115.73,6417404
6/6/2016,114.97,116,114.93,115.77,6349758
6/3/2016,114.47,115.39,114.12,114.76,6881721
6/2/2016,112.87,114.65,112.86,114.49,7310801
6/1/2016,112.57,113.06,112.07,112.78,4749563
5/31/2016,113.26,113.63,112.32,112.69,10104705
5/27/2016,113.04,113.34,112.69,113.06,4646688
5/26/2016,113.11,113.32,112.85,112.9,3973304
5/25/2016,113.18,113.72,112.85,113.35,5451934
5/24/2016,112.52,113.5,112.52,112.69,6107548
5/23/2016,112.77,112.82,112.04,112.16,6458561
5/20/2016,112.2,112.92,111.76,112.64,7433821
5/19/2016,112.99,113.04,112.2,112.85,8225630
5/18/2016,113.61,114.02,112.88,113.59,8236390
5/17/2016,114.54,114.56,113.24,113.83,9133081
5/16/2016,113.39,114.63,113.31,114.44,6221956
5/13/2016,113.9,114.09,113.36,113.56,6739159
5/12/2016,114.5,114.76,113.54,114.23,7129256
5/11/2016,114.57,114.76,114.31,114.37,6635194
5/10/2016,114,115,113.92,114.67,8341436
5/9/2016,112.98,113.99,112.73,113.72,6487286
5/6/2016,112.58,113.05,112.28,112.74,6094602
5/5/2016,112.08,113.1,112.04,112.88,5370283
